# Rime dictionary
# encoding: utf-8
#
# The dictionary of  the kakka dialect of the Gaufung
#  This dictionary is made by hazuki erii.
# -广西玉林兴业县高峰乡客家话字典
#  该字典由叶月绘梨依整理同制作。
#
# 特此说明
# Introduction
#------------------
#  本客家话字典的发音皆取自于高峰镇龙文村龙源坪。
#  The kakka pronounciation is from lung nzien piang of the lung vun country of the gaufung.
#------------------
#   其中发音，既收集后生人用的(不太标准的掺杂普通话的客家话发音)，又采集老一辈人的发音以及旧时读书用的读书音(即文读音)，同时也斟酌收录古代客家话读音(主要来自韵书,切韵等)。
# 即，汉字的读音收录原则为，应收尽收，如有些汉字无对应客家读音则有边读边，或采用普通话读音的变体(由于化学、医学等学科中有些字是新造的，故其读音多采用普通话变体）；但更多的读音是既考虑当地客家话读音，又酌情对照古代韵书(广韵，集韵)的反切读音，而进行收录的。
#
#  故，每只汉字都可能有好多只不同的读音(口语音，老一代用的读音，古代宋明清时的读音，后生中较流行的读音，小孩仿普通话的读音)
#
#本字典收录开通用规范汉字约8000个以上，并为其标注上相对应的客家读音。同时，由于个人能力有限，在所不免的会犯错，故补充修改会在另事的词典(add-edit.dict.yaml)进行。
#
#该字典由五只词库组成：
#     - 补充增订词典(add-edit.dict.yaml)
#     - 高峰客家话专用汉字典(kakka-hanzi.dict.yaml)
#     - 高峰客家话词汇典(kakka-words.dict.yaml)
#     - 搜狗输入法基础词汇典(sougou-words.dict.yaml)
#     - Google输入法常用词集(google-words.dict.yaml)
#----------------------
# 本词典制作主要参考开以下ケ书籍同文章：
#
# *汉典
# *国家一级常用汉字同二级常用汉字8000汉字表
# *客家方言词语考释
# *客家方言标准音词典
# *李城宗《玉林兴业县高峰镇客家方言研究》硕士论文
# *知网中关于客家话ケ研究论文等
#如有错误，还望汝人能指正，至多感谢不止！

---
name: kakka-basic-hanzi   #字典名称
version: "2021.02.15"  #制作版本日期
sort: by_weight # 有两种选项，origin同by_weight
use_preset_vocabulary: true
max_phrase_length: 10
min_phrase_weight: 100
#import_tables:   #导入拓展词典
  #  - add-edit #补充增订字典
    #- kakka-hanzi #高峰客家话专用汉字典
    #- kakka-words #高峰客家话专用词汇典
    #- sougou-words #搜狗基础词汇典
    #- google-words #谷歌常用词集
...

一	jit 
乙	jet 
二	nzi 
十	sip 
丁	den 
厂	cong 
七	cit 
卜	puk 
卜	pok 
八	bat 
人	nzin 
入	nzip 
儿	nzi 
儿	ji 
匕	bi 
几	gi 
九	giu 
了	liau 
了	qe
乃	nai 
乃	nai 
刀	dau 
力	lit 
又	jiu 
三	tham 
干	gon 
干	gan
于	ji 
于	qu 
亏	kui 
士	thu 
土	tu 
工	gung 
才	coi 
才	cai 
下	ha
寸	cun 
丈	zong 
丈	cong 
大	tai 
与	ji 
与	jo
与	qu
万	van 
万	man 
上	song 
小	thiau 
口	keu 
口	heu 
山	than 
巾	gin 
千	cen 
乞	hat 
乞	ket 
川	con 
亿	jit 
个	gok 
个	gai 
个	ge 
个	go 
夕	cit 
么	mo 
久	giu 
勺	sok 
丸	jen 
丸	van 
元	nzien 
元	jen 
凡	fan 
及	kip 
及	gip 
广	gong 
亡	mong 
亡	vong 
门	mun 
丫	qa 
丫	ja 
义	ji 
义	nzi
之	zi 
之	di 
尸	si 
己	gi 
已	ji 
巳	si 
巳	thu 
弓	giung 
弓	gung 
子	zu 
卫	vui 
也	ja 
女	ngh
女	nzio 
女	nio
女	lu
刃	nziun 
飞	fui 
飞	bui 
习	thip 
叉	ca 
马	ma 
乡	song 
乡	hiong 
丰	fung 
王	vong 
王	qong 
开	koi 
开	hoi 
井	ziang 
天	ten 
夫	fu 
夫	pu 
元	nzien 
元	jen 
无	vu 
无	mo 
无	mu 
云	jun 
专	zon 
丐	koi 
丐	kai 
丐	gai 
扎	zap 
艺	nzi 
木	muk 
五	ngh 
五	ngu 
支	gi 
支	zi 
厅	tang 
不	but 
不	bu 
太	tai 
犬	ken 
太	tai 
区	ki 
区	ku
历	lit 
历	lak 
歹	dai 
友	jiu 
尤	jiu 
匹	pit 
车	ca 
车	gi 
巨	ki 
巨	gio
巨	gi
牙	nga 
屯	tun 
戈	go 
比	bi 
互	fu 
切	cet 
瓦	nga 
止	zi 
少	sau
曰	jok 
曰	jat 
曰	jet 
日	nzit 
中	zung 
贝	bui 
冈	gong 
内	nui 
水	sui 
见	gen 
午	ngu 
午	ngh 
牛	nziu 
手	siu 
气	ki 
气	si 
毛	mau 
壬	nzim 
升	sin 
夭	jau 
长	cong 
长	zong 
